title,latitude,longitude,magnitude,date
073 km N 10° E of Claveria (Cagayan),19.26,121.2,4.8,22 July 2016 - 07:31 PM
018 km S 49° W of Governor Generoso (Davao Oriental),6.54,125.95,2,22 July 2016 - 05:46 PM
030 km N 81° W of Candon City (Ilocos Sur),17.24,120.17,2.3,22 July 2016 - 05:42 PM
021 km N 80° E of Don Marcelino (Davao Ooccidental),6.23,125.85,3.2,22 July 2016 - 01:23 PM
030 km S 68° E of General Luna (Surigao Del Norte),9.68,126.41,2.8,22 July 2016 - 08:56 AM
060 km N 23° W of Pagudpud (Ilocos Norte),19.08,120.57,3.3,22 July 2016 - 06:02 AM
016 km S 26° W of San Andres (Quezon),13.19,122.62,2.6,22 July 2016 - 04:20 AM
093 km S 60° W of Sabtang (Batanes),20.11,121.09,3,22 July 2016 - 04:12 AM
058 km N 74° E of Guiuan (Eastern Samar),11.18,126.23,2.5,22 July 2016 - 12:11 AM
010 km N 45° W of Calatagan (Batangas),13.9,120.57,2,21 July 2016 - 05:48 PM
015 km N 53° E of Santiago (Agusan Del Norte),9.35,125.67,2.5,21 July 2016 - 04:50 PM
015 km N 17° W of Batuan (Bohol),9.9,124.11,3.5,21 July 2016 - 01:48 PM
002 km N 75° E of Concepcion (Iloilo),11.23,123.13,3.1,21 July 2016 - 01:18 PM
022 km N 18° E of Tarlac  (Tarlac),15.48,120.64,2.8,uly 221 J016 - 08:18 AM
002 km S 82° W of San Isiddro (Bohol),9.87,123.93,2,21 July 2016 - 04:48 AM
023 km S 23° W of Siaton (Negros Oriental),8.87,122.95,2.6,21 July 2016 - 04:19 AM
011 km N 34° E of Pagudpud (Ilocos Norte),18.66,120.85,3.1,21 July 2016 - 04:10 AM
052 km S 45° E of Governor Generoso (Davao Oriental),6.32,126.41,3,21 July 2016 - 01:34 AM
084 km N 09° E of Santa Ana (Cagayan),19.2,122.27,3,21 July 2016 - 12:18 AM
020 km S 42° E of Looc (Occidental Mindoro),13.59,120.38,2.2,20 July 2016 - 11:11 PM
099 km N 57° W of Burgos (Ilocos Norte),19.01,119.86,2.7,20 July 2016 - 11:00 PM
015 km S 90° E of Corcuera (Romblon),12.79,122.19,2.7,20 July 2016 - 10:00 PM
071 km S 74° E of Sarangani (Davao Occidental),5.25,126.08,3.1,20 July 2016 - 09:13 PM
069 km N 31° W of Pandan (Catanduanes),14.58,123.83,2.1,20 July 2016 - 09:02 PM
005 km S 07° W of Candelaria (Zambales),15.58,119.93,2.1,20 July 2016 - 07:24 PM
052 km N 88° E of Prieto Diaz (Sorsogon),13.07,124.67,2,20 July 2016 - 05:40 PM
019 km N 87° W of Bauang (La Union),16.54,120.16,2.1,20 July 2016 - 02:55 PM
099 km N 68° W of Lubang (Occidental Mindoro),14.2,119.28,2.6,20 July 2016 - 07:28 AM
118 km N 71° W of Lubang (Occidental Mindoro),14.2,119.09,2.8,20 July 2016 - 07:10 AM
045 km S 47° E of Dinalungan (Aurora),15.86,122.26,2.2,20 July 2016 - 03:41 AM
004 km S 57° E of Naguilian (La Union),16.51,120.41,1.9,20 July 2016 - 12:25 AM
015 km S 25° W of San Miguel (Surigao Del Sur),8.82,125.98,2.5,20 July 2016 - 12:24 AM
016 km N 11° E of Burgos (Surigao Del Norte),10.17,126.1,2.3,19 July 2016 - 11:43 PM
007 km S 16° E of Aringay (La Union),16.34,120.37,2.4,19 July 2016 - 11:01 PM
023 km N 63° W of Governor Generoso (Davao Oriental),6.74,125.89,2.4,19 July 2016 - 10:22 PM
002 km N 03° E of Ilagan (Isabela),17.17,121.89,2.6,19 July 2016 - 09:25 PM
029 km S 82° W of Jimalalud (Negros Oriental),9.94,122.94,2.1,19 July 2016 - 09:22 PM
013 km N 51° W of Jimalalud (Negros Oriental),10.05,123.1,2.1,19 July 2016 - 06:32 PM
007 km N 73° W of La Libertad (Negros Oriental),10.05,123.17,3.2,19 July 2016 - 06:08 PM
015 km N 33° W of Surigao City (Surigao Del Norte),9.89,125.42,3.2,19 July 2016 - 03:33 AM
009 km N 72° W of Candelaria (Zambales),15.65,119.85,3.8,19 July 2016 - 02:06 AM
119 km S 47° E of Sarangani (Davao Occidental),4.7,126.26,4.2,18 July 2016 - 11:47 PM
074 km N 61° E of Burgos (Surigao Del Norte),10.34,126.66,3.5,18 July 2016 - 11:30 PM
010 km N 75° W of Calatagan (Batangas),13.86,120.55,2,18 July 2016 - 10:08 PM
018 km S 11° E of Mati (Davao Oriental),6.79,126.25,3.5,18 July 2016 - 10:04 PM
093 km N 69° W of Lubang (Occidental Mindoro),14.16,119.32,2.6,18 July 2016 - 09:40 PM
039 km N 70° W of Luna (La Union),16.97,120.03,2.1,18 July 2016 - 07:23 PM
035 km S 50° E of Baras (Catanduanes),13.46,124.61,2.9,18 July 2016 - 07:09 PM
015 km N 85° W of Baculin (Davao Oriental),7.47,126.45,3.3,18 July 2016 - 04:36 PM
011 km S 61° W of Luna (La Union),16.81,120.26,2.1,18 July 2016 - 04:02 PM
078 km S 84° E of Dolores (Eastern Samar),11.96,126.19,2.5,18 July 2016 - 03:06 PM
009 km S 70° W of Aguilar (Pangasinan),15.86,120.16,2,18 July 2016 - 10:39 AM
014 km S 39° E of Samal (Island Garden City of Samal) (Davao Del Norte),6.99,125.79,2,18 July 2016 - 10:27 AM
020 km S 75° W of Siocon (Zamboanga Del Norte),7.66,121.94,3,18 July 2016 - 10:24 AM
002 km S 02° E of Santa Monica (Sapao) (Surigao Del Norte),10,126.04,3.2,18 July 2016 - 10:07 AM
013 km N 52° E of Panukulan (Quezon),15,121.89,2,16 July 2016 - 11:41 AM
007 km N 09° E of Cabangan (Zambales),15.22,120.07,2.5,16 July 2016 - 09:13 AM
008 km S 63° E of Calatagan (Batangas),13.8,120.7,2,16 July 2016 - 08:25 AM
015 km S 69° W of San Miguel (Bohol),9.94,124.21,2.1,16 July 2016 - 03:01 AM
010 km S 85° W of Buenavista (Quezon),13.73,122.38,2.1,16 July 2016 - 02:01 AM
014 km N 75° E of Pres.Carlos P. Garcia (Pitogo) (Bohol),10.05,124.68,2,16 July 2016 - 12:20 AM
035 km N 89° W of Boac (Marinduque),13.45,121.52,2.1,15 July 2016 - 11:46 PM
211 km S 66° E of Jose Abad Santos (Davao Occidental),5.12,127.36,3.1,15 July 2016 - 09:34 PM
026 km S 84° E of Borongan (Eastern Samar),11.58,125.67,3,15 July 2016 - 07:14 PM
034 km N 84° E of Cortes (Surigao Del Sur),9.3,126.5,4,15 July 2016 - 06:54 PM
064 km N 64° E of Cagwait (Surigao Del Sur),9.18,126.82,2.5,15 July 2016 - 06:49 PM
013 km S 65° E of Cagwait (Surigao Del Sur),8.87,126.41,2.8,15 July 2016 - 05:44 PM
020 km S 43° E of Mamburao (Occidental Mindoro),13.1,120.72,2.3,15 July 2016 - 10:09 AM
010 km N 13° E of Abra De Ilog (Occidental Mindoro),13.54,120.75,2.6,15 July 2016 - 08:23 AM
107 km S 38° E of Sarangani (Davao Occidental),4.67,126.07,3.7,15 July 2016 - 05:35 AM
012 km N 47° W of Manay (Davao Oriental),7.29,126.46,3.3,15 July 2016 - 03:22 AM
045 km N 04° E of Catbalogan (Samar),12.15,124.9,3,15 July 2016 - 03:10 AM
034 km S 82° E of Baler (Aurora),15.72,121.88,2.6,15 July 2016 - 12:08 AM
033 km N 71° W of Batangas City (Batangas),13.85,120.77,2,14 July 2016 - 11:00 PM
027 km S 21° W of Daet (Camarines Norte),13.91,122.84,2.6,14 July 2016 - 09:57 PM
052 km S 72° W of Agno (Pangasinan),15.97,119.33,3.2,14 July 2016 - 05:02 PM
028 km N 26° W of Bolinao (Pangasinan),16.62,119.78,2.8,14 July 2016 - 07:08 AM
017 km N 27° E of Palapag (Northern Samar),12.69,125.19,2.3,14 July 2016 - 01:41 AM
017 km N 40° E of Paluan (Occidental Mindoro),13.53,120.57,2.1,14 July 2016 - 01:19 AM
026 km N 14° E of Calintaan (Occidental Mindoro),12.8,121,2.3,14 July 2016 - 12:45 AM
003 km N 05° E of Looc (Occidental Mindoro),13.75,120.25,2.3,14 July 2016 - 12:37 AM
033 km N 79° E of Mercedes (Eastern Samar),11.15,126.01,3.3,14 July 2016 - 12:09 AM
017 km S 11° W of Aguilar (Pangasinan),15.74,120.21,2,13 July 2016 - 05:49 PM
080 km N 68° E of Hernani (Eastern Samar),11.6,126.3,2.9,13 July 2016 - 11:27 AM
022 km S 58° E of Ormoc City (Leyte),10.9,124.78,2,13 July 2016 - 09:09 AM
004 km N 40° W of La Paz (Agusan del Sur),8.34,125.79,2.5,13 July 2016 - 06:40 AM
036 km S 33° W of Mariveles (Bataan),14.16,120.3,3.1,13 July 2016 - 06:40 AM
022 km S 26° E of General Luna (Surigao del Norte),9.6,126.25,3.3,13 July 2016 - 03:39 AM
019 km S 89° E of Tabogon (Cebu),10.94,124.2,2,13 July 2016 - 03:38 AM
002 km N 75° W of Casiguran (Sorsogon),12.88,123.99,2.2,13 July 2016 - 01:59 AM
108 km S 68° E of Jose Abad Santos (Davao Occidental),5.45,126.49,3.1,13 July 2016 - 01:29 AM
104 km S 41° E of Governor Generoso (Davao Oriental),5.95,126.7,2.9,13 July 2016 - 01:11 AM
017 km S 75° E of Alegria (Surigao Del Norte),9.42,125.73,2,13 July 2016 - 12:47 AM
091 km N 43° E of San Policarpio (Eastern Samar),12.77,126.08,2.5,12 July 2016 - 08:20 PM
004 km N 69° W of Hinunangan (Southern Leyte),10.41,125.16,3.1,12 July 2016 - 06:36 PM
028 km N 02° E of Burgos (Surigao Del Norte),10.27,126.08,2.5,12 July 2016 - 02:25 PM
042 km N 54° E of Hernani (Eastern Samar),11.55,125.93,2.5,12 July 2016 - 01:12 PM
010 km S 89° E of Pasuquin (Ilocos Norte),18.34,120.71,2.4,12 July 2016 - 11:12 AM
103 km S80° W of San Antonio (Zambales),14.79,119.15,2.4,12 July 2016 - 10:37 AM
030 km S 86° W of Siocon (Zamboanga Del Norte),7.69,121.85,3,12 July 2016 - 09:26 AM
003 km N 48° W of Calatagan (Batangas),13.85,120.61,2,12 July 2016 - 03:18 AM
017 km N 63° W of Talacogon (Agusan Del Sur),8.52,125.65,2.6,12 July 2016 - 02:34 AM
036 km S 54° W of Basay (Negros Oriental),9.22,122.37,2.4,12 July 2016 - 02:25 AM
065 km S 42° E of Governor Generoso (Davao Oriental),6.21,126.47,2.6,12 July 2016 - 02:05 AM
012 km N 24° E of Anini-y (Antique),10.53,121.97,2.8,12 July 2016 - 01:56 AM
021 km S 58° E of Dinalungan (Aurora),16.04,122.12,2.6,11 July 2016 - 08:34 PM
023 km S 71° W of Victoria (Oriental Mindoro),13.13,121.07,2.6,11 July 2016 - 07:03 PM
018 km N 56° E of Santiago (Agusan Del Norte),9.36,125.7,2.3,10 July 2016 - 11:21 PM
004 km S 65° E of Ragay (Camarines Sur),13.81,122.82,2.6,10 July 2016 - 09:28 PM
030 km S 84° E of Cortes (Surigao Del Sur),9.25,126.47,3.5,10 July 2016 - 08:41 PM
006 km N 43° W of Talacogon (Agusan Del Sur),8.49,125.75,2.6,10 July 2016 - 08:34 PM
010 km N 77° W of Lupi (Camarines Sur),13.82,122.83,3.9,10 July 2016 - 07:37 PM
003 km N 89° W of Talacogon (Agusan Del Sur),8.45,125.76,3,10 July 2016 - 04:16 PM
020 km N 06° E of Uyugan (Batanes),20.53,121.96,4,10 July 2016 - 03:48 PM
004 km N 09° E of Talacogon (Agusan Del Sur),8.48,125.79,3.1,10 July 2016 - 01:46 PM
003 km N 39° E of Talacogon (Agusan Del Sur),8.47,125.8,4.7,10 July 2016 - 01:37 PM
006 km N 45° W of Talacogon (Agusan Del Sur),8.49,125.75,3.3,10 July 2016 - 12:52 PM
093 km N 73° W of Calayan (Cagayan),19.54,120.62,4.2,09 July 2016 - 10:11 PM
012 km N 34° W of Burdeos (Quezon),14.94,122.03,3.1,09 July 2016 - 09:20 PM
014 km N 59° W of Talacogon (Agusan Del Sur),8.51,125.68,2.2,09 July 2016 - 03:36 PM
078 km S 77° E of Sarangani (Davao Occidental),5.27,126.15,3.7,09 July 2016 - 03:27 PM
031 km S 71° W of Paluan (Occidental Mindoro),13.32,120.19,2.3,09 July 2016 - 02:57 PM
029 km N 78° W of Talacogon (Agusan Del Sur),8.5,125.53,2.8,09 July 2016 - 11:11 AM
009 km N 03° E of Bokod (Benguet),16.53,120.72,2.4,09 July 2016 - 10:55 AM
009 km N 83° W of Talacogon (Agusan Del Sur),8.46,125.7,3.7,09 July 2016 - 10:47 AM
006 km S 12° E of Talacogon (Agusan Del Sur),8.4,125.8,2.3,09 July 2016 - 10:44 AM
003 km S 17° E of San Antonio (Zambales),14.92,120.1,3.2,09 July 2016 - 10:25 AM
009 km S 70° E of Talacogon (Agusan Del Sur),8.42,125.86,2.9,09 July 2016 - 09:40 AM
009 km N 80° W of Talacogon (Agusan Del Sur),8.49,125.69,5.3,09 July 2016 - 07:16 AM
005 km N 86° W of Puerto Galera (Oriental Mindoro),13.5,120.91,2,08 July 2016 - 10:20 PM
041 km N 20° E of Calayan (Cagayan),19.63,121.6,3.4,08 July 2016 - 01:42 PM
008 km S 48° E of Cataingan (Masbate),11.96,124.05,3.9,08 July 2016 - 09:08 AM
011 km N 36° E of Pagudpud (Ilocos Nortel),18.66,120.86,2.9,08 July 2016 - 04:26 AM
060 km S 37° E of Governor Generoso (Davao Oriental),6.22,126.4,2.6,08 July 2016 - 12:54 AM
027 km N 13° E of Tarlac (Tarlac),15.74,120.63,2,07 July 2016 - 11:54 PM
042 km N 12° W of Calayan (Cagayan),19.65,121.38,3.4,07 July 2016 - 10:08 PM
011 km S 09° W of Batuan (Masbate),12.33,123.76,2.4,07 July 2016 - 03:49 PM
057 km N 56° E of Gigmoto  (Catanduanes),14.07,124.83,2.1,07 July 2016 - 08:50 AM
011 km S 59° E of San Isidro  (Davao Oriental),6.8,126.16,3.2,07 July 2016 - 07:06 AM
021 km N 62° E of  Governor Generoso (Davao Oriental),6.74,126.25,4.9,07 July 2016 - 05:00 AM
028 km S 32° E of  Governor Generoso (Davao Oriental),6.44,126.21,3.2,07 July 2016 - 02:52 AM
005 km N 49° E of  Dagohoy (Bohol),9.92,124.31,2.3,07 July 2016 - 02:17 AM
024 km S 14° E of  Cateel (Davao Oriental),7.59,126.5,3.3,06 July 2016 - 10:12 PM
067 km S 43° E of Governor Generoso (Davao Oriental),6.21,126.48,3,06 July 2016 - 08:53 PM
063 km S 09° E of Pitogo (Sugbay) (Zamboanga Del Norte),6.88,123.41,2,06 July 2016 - 08:07 PM
049 km S 79° W of Sipalay (Negros Occidental),9.68,121.97,3.4,06 July 2016 - 01:59 PM
001 km S 20° W of Lawaan (Eastern Samar),11.13,125.31,3,06 July 2016 - 08:36 AM
035 km N 76° W of Lubang (Occidental Mindoro),13.94,119.81,2.3,06 July 2016 - 03:46 AM
008 km N 47° W of Almeria (Biliran),11.67,124.33,3.3,06 July 2016 - 03:27 AM
129 km S 62° E of Sarangani (Davao Occidental),4.88,126.5,3,06 July 2016 - 03:15 AM
002 km N 03° W of San Benito (Surigao Del Norte),9.98,126.01,2.2,06 July 2016 - 12:57 AM
014 km S 50° W of Almagro (Western Samar),11.83,124.18,2.6,06 July 2016 - 12:15 AM
011 km N 67° E of Candelaria (Zambales),15.67,120.03,2.9,05 July 2016 - 11:12 PM
012 km N 48° E of Candelaria (Zambales),15.7,120.02,2.1,05 July 2016 - 10:51 PM
012 km S 12° W of Calatagan (Batangas),13.73,120.61,2,05 July 2016 - 07:15 PM
010 km S 09° W of Calatagan (Batangas),13.74,120.62,2.2,05 July 2016 - 07:08 PM
063 km S 43° E of Tarragona (Davao Oriental),6.63,126.84,2.1,05 July 2016 - 06:17 PM
023 km S 45° W of Bula (Camarines Sur),13.31,123.23,2.3,05 July 2016 - 03:32 PM
090 km S 59° E of Jose Abad Santos (Davao Occidental),5.47,126.31,3.7,05 July 2016 - 01:22 PM
039 km N 22° E of Sabtang (Batanes),20.66,122.01,3.5,05 July 2016 - 12:47 AM
030 km S 71° E of Jose Abad Santos (Davao Occidental),5.8,125.87,2.9,04 July 2016 - 10:41 PM
029 km S 35° W of Agno (Pangasinan),15.91,119.64,3.3,04 July 2016 - 10:18 PM
087 km S 57° W of Kalamansig (Sultan Kudarat),6.15,123.4,3.1,04 July 2016 - 10:04 PM
005 km S 29° W of Looc (Occidental Mindoro),13.68,120.23,2.3,04 July 2016 - 08:16 PM
012 km S 05° W of Mamburao (Occidental Mindoro),13.12,120.58,2.3,04 July 2016 - 01:55 PM
022 km S 79° W of Luna (La Union),16.82,120.17,2.5,04 July 2016 - 12:36 PM
011 km S 26° W of Tingloy (Batangas),13.57,120.82,2.3,04 July 2016 - 12:29 PM
015 km S 08° E of Calatagan (Batangas),13.7,120.65,2.4,04 July 2016 - 01:35 AM
038 km S 74° W of Calayan (Cagayan),19.19,121.11,2.7,04 July 2016 - 01:02 AM
027 km S 48° E of Governor Generoso (Davao Oriental),6.49,126.26,2.6,04 July 2016 - 12:42 AM
035 km N 76° W of Nasugbu (Batangas),14.16,120.31,3.1,03 July 2016 - 11:13 PM
014 km N 64° E of Casiguran (Aurora),16.33,122.25,2.1,03 July 2016 - 10:19 PM
028 km S 45° W of Paluan (Occidental Mindoro),13.23,120.28,3.9,03 July 2016 - 08:49 PM
122 km S 68° E of Jose Abad Santos (Davao Occidental),5.47,126.63,3.3,03 July 2016 - 08:08 PM
018 km S 82° W of Mariveles (Bataan),14.42,120.32,2,03 July 2016 - 07:57 PM
032 km S 45° W of Looc (Occidental Mindoro),13.52,120.04,2.4,03 July 2016 - 03:19 PM
046 km S 17° W of Lubang (Occidental Mindoro),13.46,120,3.3,03 July 2016 - 02:56 PM
180 km S 44° E of Governor Generoso (Davao Occidental),5.49,127.22,2.8,03 July 2016 - 08:27 AM
168 km S 39° E of Sarangani (Davao Occidental),4.26,126.43,3.3,03 July 2016 - 07:38 AM
024 km N 20° E of Malita (Davao Occidental),6.62,125.69,3.3,03 July 2016 - 05:10 AM
005 km N 27° W of Itogon (Benguet),16.42,120.64,2.4,03 July 2016 - 03:36 AM
027 km N 38° E of Divilacan (Isabela),17.52,122.46,2.1,03 July 2016 - 03:06 AM
052 km N 57° E of Cortes (Surigao Del Sur),9.53,126.59,3.5,03 July 2016 - 12:44 AM
005 km S 75° W of Candelaria (Zambales),15.62,119.89,3.1,02 July 2016 - 07:33 PM
005 km N 78° E of Concepcion (Romblon),12.94,121.77,2.8,02 July 2016 - 07:27 PM
022 km N 58° E of Looc (Occidental Mindoro),13.83,120.42,2.6,02 July 2016 - 01:00 AM
022 km N 38° E of Garchitorena (Camarines Sur),14.05,123.83,2.6,01 July 2016 - 11:09 PM
015 km S 51° E of Looc (Occidental Mindoro),13.64,120.36,3.1,01 July 2016 - 06:05 PM
012 km S 34° E of Pintuyan (Southern Leyte),9.85,125.31,2.8,01 July 2016 - 05:23 PM
022 km S 65° E of Socorro (Surigao del Norte),9.54,126.15,2.9,01 July 2016 - 12:51 PM
008 km N 58° W of Currimao (Ilocos Norte),18.06,120.41,3.4,01 July 2016 - 11:26 AM
007 km S 21° W of Tarlac City (Tarlac),15.43,120.56,2.5,01 July 2016 - 02:30 AM
007 km N 52° E of Puerto Galera (Oriental Mindoro),13.74,120.65,1.3,01 July 2016 - 02:10 AM
015 km S 59° E of Cauayan (Negros Occidental),9.9,122.74,2.2,30 June 2016 - 06:18 PM
041 km S 66° E of Tandag (Surigao Del Sur),8.93,126.53,2.5,30 June 2016 - 10:46 AM
011 km S 26° W of Bangui (Ilocos Norte),18.45,120.73,2.4,30 June 2016 - 01:09 AM
015 km S 81° E of Albuera (Leyte),10.89,124.83,3.9,29 June 2016 - 10:32 PM
008 km S 64° E of Bacnotan (La Union),16.69,120.42,2.1,29 June 2016 - 03:32 PM
022 km S 76° E of Governor Generoso (Davao Oriental),6.6,126.27,2.3,29 June 2016 - 11:19 AM
015 km S 38° E of Governor Generoso (Davao Oriental),6.58,126.19,2.7,29 June 2016 - 09:55 AM
001 km N 48° E of Bauang (La Union),16.53,120.34,2.2,29 June 2016 - 06:42 AM
032 km N 42° E of Burdeos (Quezon),15.06,122.16,2.4,28 June 2016 - 11:11 PM
011 km S 83° E of Tandag (Surigao del Sur),9.07,126.3,2.7,28 June 2016 - 10:42 AM
013 km S 47° E of San Juan (Batangas),13.75,121.49,2.2,28 June 2016 - 08:24 AM
035 km S 75° E of General Luna (Surigao Del Norte),9.7,126.47,4.5,28 June 2016 - 06:43 AM
009 km S 37° W of Lian (Batangas),13.98,120.6,2.5,28 June 2016 - 01:01 AM
017 km N 06° E of Bolinao (Pangasinan),16.54,119.91,3.4,28 June 2016 - 12:36 AM
011 km N 81° W of Santa Fe (Nueva Vizcaya),16.17,120.84,3,27 June 2016 - 11:21 PM
004 km S 17° E of Infanta (Pangasinan),15.8,119.92,2.3,27 June 2016 - 09:46 PM
055 km S 50° E of Governor Generoso (Davao Oriental),6.34,126.46,3.2,27 June 2016 - 06:48 PM
029 km N 61° E of Santa Cruz (Davao Del Sur),6.69,125.7,3,27 June 2016 - 04:13 PM
086 km S 62° E of Governor Generoso (Davao Oriental),6.28,126.76,3.4,27 June 2016 - 12:54 PM
010 km N 64° W of Santa Lucia (Ilocos Sur),17.16,120.36,2.6,27 June 2016 - 08:46 AM
006 km N 57° E of Baybay (Leyte),10.7,124.84,2.6,27 June 2016 - 07:05 AM
003 km S 26° E of Laoac (Pangasinan),16.04,120.55,2.2,27 June 2016 - 04:05 AM
036 km N 21° W of Lubang (Occidental Mindoro),14.16,120,2.3,26 June 2016 - 08:57 PM
011 km S 81° E of Dolores (Abra),17.63,120.81,3.4,26 June 2016 - 08:32 PM
022 km N 80° W of Bamban (Tarlac),15.33,120.37,2.8,26 June 2016 - 07:19 PM
051 km N 13° W of Claveria (Cagayan),19.06,120.98,4.2,26 June 2016 - 10:49 AM
033 km S 69° W of Vigan (Ilocos Sur),17.47,120.1,2.9,26 June 2016 - 01:02 AM
035 km S 81° E of Baguio City,16.36,120.8,2.5,26 June 2016 - 12:15 AM
011 km S 47° W of Jaro (Leyte),11.12,124.71,3.2,25 June 2016 - 11:56 PM
018 km N 25° W of Abra De Ilog (Occidental Mindoro),13.59,120.66,2,25 June 2016 - 08:33 PM
020 km S 43° E of Socorro (Surigao Del Norte),9.48,126.09,2.7,25 June 2016 - 08:30 PM
067 km N 24° W of Calayan (Cagayan),19.82,122.17,3,25 June 2016 - 04:32 PM
029 km S 41° E of Governor Generoso (Davao Oriental),6.45,126.25,5,25 June 2016 - 02:40 PM
104 km S 73° E of Marihatag (Surigao Del Sur),8.52,127.2,4.3,25 June 2016 - 10:02 AM
035 km S 50° W of San Antonio (Zambales),14.75,119.84,1.7,25 June 2016 - 06:42 AM
003 km S 44° W of Rapu-rapu (Albay),13.17,124.11,3.6,25 June 2016 - 12:50 AM
032 km N 49° W of Agno (Pangasinan),16.3,119.57,2.1,24 June 2016 - 11:15 PM
010 km S 18° E of Dilasag (Aurora),16.31,122.24,1.9,24 June 2016 - 10:07 PM
033 km S 67° W of Itbayat (Batanes),20.68,121.55,3.6,24 June 2016 - 09:53 PM
007 km S 67° E of Tingloy (Batangas),13.63,120.93,2.1,24 June 2016 - 09:16 PM
012 km N 78° E of Sison (Pangasinan),16.19,120.6,2.6,24 June 2016 - 11:51 AM
004 km S 40° W of Jasaan (Misamis Oriental),8.63,124.73,2.7,24 June 2016 - 11:02 AM
014 km N 64° E of Salcedo (Eastern Samar),11.2,125.77,3.7,24 June 2016 - 01:12 AM
017 km S 66 W of Calatagan (Batangas),13.77,120.49,2.4,24 June 2016 - 01:11 AM
118 km S 68° W of San Antonio (Zambales),14.54,119.07,2.6,23 June 2016 - 11:21 PM
214 km N 76° W of Currimao (Ilocos Norte),18.5,118.51,3.4,23 June 2016 - 08:59 PM
010 km N 52° E of Lupi (Camarines Sur),13.85,122.99,2.4,23 June 2016 - 08:48 PM
012 km S 60° W of Paluan (Occidental Mindoro),13.36,120.37,3.2,23 June 2016 - 09:48 AM
039 km N 90° E of Manay (Davao Oriental),7.21,126.89,2.7,23 June 2016 - 07:20 AM
011 km N 72° W of Palauig (Zambales),15.47,119.81,2,23 June 2016 - 03:55 AM
