Serial_Num;Season;Num;Basin;Sub_basin;Name;ISO_time;Nature;Latitude;Longitude;Wind(WMO);Pres(WMO);Center;Wind(WMO) Percentile;Pres(WMO) Percentile;Track_type
1980094N02179;1980;3; EP; CP;CARMEN;04/05/1980 0:00; TS;9.5;180;0;1002;tokyo;-100;15.708;main
1980094N02179;1980;3; WP; MM;CARMEN;04/05/1980 6:00; TS;10.4;178.6;0;1000;tokyo;-100;20.921;main
1980094N02179;1980;3; WP; MM;CARMEN;04/05/1980 12:00; TS;11.8;177.7;40;994;tokyo;10.835;39.233;main
1980094N02179;1980;3; WP; MM;CARMEN;04/05/1980 18:00; TS;13.4;177.3;45;992;tokyo;22.006;43.605;main
1980094N02179;1980;3; WP; MM;CARMEN;04/06/1980 0:00; TS;14.8;177.2;45;992;tokyo;22.006;43.605;main
1980094N02179;1980;3; WP; MM;CARMEN;04/06/1980 6:00; TS;15.8;177.2;45;990;tokyo;22.006;48.137;main
1980094N02179;1980;3; WP; MM;CARMEN;04/06/1980 12:00; TS;16.7;177.6;60;985;tokyo;51.65;55.642;main
1980094N02179;1980;3; WP; MM;CARMEN;04/06/1980 18:00; TS;17.6;178.1;55;985;tokyo;43.383;55.642;main
1980094N02179;1980;3; WP; MM;CARMEN;04/07/1980 0:00; TS;18.5;178.9;45;990;tokyo;22.006;48.137;main
1980094N02179;1980;3; WP; MM;CARMEN;04/07/1980 6:00; TS;19.5;179.8;45;992;tokyo;22.006;43.605;main
1980126N08150;1980;4; WP; MM;DOM;05/07/1980 18:00; TS;8.3;142.8;0;1004;tokyo;-100;8.34;main
1980126N08150;1980;4; WP; MM;DOM;05/08/1980 0:00; TS;8.3;142.4;0;1004;tokyo;-100;8.34;main
1980126N08150;1980;4; WP; MM;DOM;05/08/1980 6:00; TS;8.2;141.9;0;1004;tokyo;-100;8.34;main
1980126N08150;1980;4; WP; MM;DOM;05/08/1980 12:00; TS;8.1;141.4;0;1004;tokyo;-100;8.34;main
1980126N08150;1980;4; WP; MM;DOM;05/08/1980 18:00; TS;7.9;140.8;0;1004;tokyo;-100;8.34;main
1980126N08150;1980;4; WP; MM;DOM;05/09/1980 0:00; TS;7.8;140.1;0;1004;tokyo;-100;8.34;main
1980126N08150;1980;4; WP; MM;DOM;05/09/1980 6:00; TS;8;138.5;0;1004;tokyo;-100;8.34;main
1980126N08150;1980;4; WP; MM;DOM;05/09/1980 12:00; TS;8.5;137.8;0;1004;tokyo;-100;8.34;main
1980126N08150;1980;4; WP; MM;DOM;05/09/1980 18:00; TS;9.2;136.8;0;1004;tokyo;-100;8.34;main
1980126N08150;1980;4; WP; MM;DOM;05/10/1980 0:00; TS;10;135.8;0;1004;tokyo;-100;8.34;main
1980126N08150;1980;4; WP; MM;DOM;05/10/1980 6:00; TS;10.3;134.7;0;1002;tokyo;-100;15.708;main
1980126N08150;1980;4; WP; MM;DOM;05/10/1980 12:00; TS;11.2;133.3;0;1002;tokyo;-100;15.708;main
1980126N08150;1980;4; WP; MM;DOM;05/10/1980 18:00; TS;11.4;132.3;0;1002;tokyo;-100;15.708;main
1980126N08150;1980;4; WP; MM;DOM;05/11/1980 0:00; TS;11.7;131.4;0;998;tokyo;-100;27.887;main
1980126N08150;1980;4; WP; MM;DOM;05/11/1980 6:00; TS;12;130.5;45;994;tokyo;22.006;39.233;main
1980126N08150;1980;4; WP; MM;DOM;05/11/1980 12:00; TS;12.4;129.3;45;992;tokyo;22.006;43.605;main
1980126N08150;1980;4; WP; MM;DOM;05/11/1980 18:00; TS;13;128.1;50;990;tokyo;33.382;48.137;main
1980126N08150;1980;4; WP; MM;DOM;05/12/1980 0:00; TS;13.6;126.7;50;985;tokyo;33.382;55.642;main
1980126N08150;1980;4; WP; MM;DOM;05/12/1980 6:00; TS;14.3;125.8;55;980;tokyo;43.383;63.026;main
1980126N08150;1980;4; WP; MM;DOM;05/12/1980 12:00; TS;14.8;125;60;975;tokyo;51.65;69.427;main
1980126N08150;1980;4; WP; MM;DOM;05/12/1980 18:00; TS;15.5;124.4;60;970;tokyo;51.65;74.261;main
1980126N08150;1980;4; WP; MM;DOM;05/13/1980 0:00; TS;16;124;70;965;tokyo;65.649;78.298;main
1980126N08150;1980;4; WP; MM;DOM;05/13/1980 6:00; TS;16.6;123.6;70;960;tokyo;65.649;81.869;main
1980126N08150;1980;4; WP; MM;DOM;05/13/1980 12:00; TS;16.9;123.3;85;960;tokyo;85.1;81.869;main
1980126N08150;1980;4; WP; MM;DOM;05/13/1980 18:00; TS;17.2;123;85;960;tokyo;85.1;81.869;main
1980126N08150;1980;4; WP; MM;DOM;05/14/1980 0:00; TS;17.4;122.8;70;965;tokyo;65.649;78.298;main
1980126N08150;1980;4; WP; MM;DOM;05/14/1980 6:00; TS;17.5;122.7;70;965;tokyo;65.649;78.298;main
1980126N08150;1980;4; WP; MM;DOM;05/14/1980 12:00; TS;17.6;122.6;70;980;tokyo;65.649;63.026;main
1980126N08150;1980;4; WP; MM;DOM;05/14/1980 18:00; TS;17.8;122.5;60;980;tokyo;51.65;63.026;main
1980126N08150;1980;4; WP; MM;DOM;05/15/1980 0:00; TS;18;122.5;55;985;tokyo;43.383;55.642;main
1980126N08150;1980;4; WP; MM;DOM;05/15/1980 6:00; TS;18.2;122.6;55;990;tokyo;43.383;48.137;main
1980126N08150;1980;4; WP; MM;DOM;05/15/1980 12:00; TS;18.6;122.7;55;985;tokyo;43.383;55.642;main
1980126N08150;1980;4; WP; MM;DOM;05/15/1980 18:00; TS;19.1;122.8;50;980;tokyo;33.382;63.026;main
1980126N08150;1980;4; WP; MM;DOM;05/16/1980 0:00; TS;19.5;122.9;50;980;tokyo;33.382;63.026;main
1980126N08150;1980;4; WP; MM;DOM;05/16/1980 6:00; TS;19.8;123.4;55;975;tokyo;43.383;69.427;main
1980126N08150;1980;4; WP; MM;DOM;05/16/1980 12:00; TS;20.1;124;55;975;tokyo;43.383;69.427;main
1980126N08150;1980;4; WP; MM;DOM;05/16/1980 18:00; TS;20.3;124.7;55;975;tokyo;43.383;69.427;main
1980126N08150;1980;4; WP; MM;DOM;05/17/1980 0:00; TS;20.5;125.3;65;980;tokyo;59.347;63.026;main
1980126N08150;1980;4; WP; MM;DOM;05/17/1980 6:00; TS;20.7;125.9;65;980;tokyo;59.347;63.026;main
1980126N08150;1980;4; WP; MM;DOM;05/17/1980 12:00; TS;20.9;126.5;60;980;tokyo;51.65;63.026;main
1980126N08150;1980;4; WP; MM;DOM;05/17/1980 18:00; TS;21.1;126.9;55;980;tokyo;43.383;63.026;main
1980126N08150;1980;4; WP; MM;DOM;05/18/1980 0:00; TS;21;127;55;980;tokyo;43.383;63.026;main
1980126N08150;1980;4; WP; MM;DOM;05/18/1980 6:00; TS;20.9;126.8;55;985;tokyo;43.383;55.642;main
1980126N08150;1980;4; WP; MM;DOM;05/18/1980 12:00; TS;20.8;126.6;50;985;tokyo;33.382;55.642;main
1980126N08150;1980;4; WP; MM;DOM;05/18/1980 18:00; TS;20.7;126.4;45;990;tokyo;22.006;48.137;main
1980126N08150;1980;4; WP; MM;DOM;05/19/1980 0:00; TS;20.7;126.2;40;990;tokyo;10.835;48.137;main
1980126N08150;1980;4; WP; MM;DOM;05/19/1980 6:00; TS;20.7;126.2;40;992;tokyo;10.835;43.605;main
1980126N08150;1980;4; WP; MM;DOM;05/19/1980 12:00; TS;20.8;126.2;40;994;tokyo;10.835;39.233;main
1980126N08150;1980;4; WP; MM;DOM;05/19/1980 18:00; TS;21;126.2;40;996;tokyo;10.835;33.063;main
1980126N08150;1980;4; WP; MM;DOM;05/20/1980 0:00; TS;21.3;126.2;35;998;tokyo;0;27.887;main
1980126N08150;1980;4; WP; MM;DOM;05/20/1980 6:00; TS;21.7;126.9;35;998;tokyo;0;27.887;main
1980126N08150;1980;4; WP; MM;DOM;05/20/1980 12:00; TS;22.3;127.8;0;1000;tokyo;-100;20.921;main
1980126N08150;1980;4; WP; MM;DOM;05/20/1980 18:00; TS;23;128.8;0;1002;tokyo;-100;15.708;main
1980126N08150;1980;4; WP; MM;DOM;05/21/1980 0:00; TS;24;131;0;1004;tokyo;-100;8.34;main
1980126N08150;1980;4; WP; MM;DOM;05/21/1980 6:00; TS;25;133;0;1004;tokyo;-100;8.34;main
1980126N08150;1980;4; WP; MM;DOM;05/21/1980 12:00; TS;26;135;0;1004;tokyo;-100;8.34;main
1980126N08150;1980;4; WP; MM;DOM;05/21/1980 18:00; TS;27;137;0;1004;tokyo;-100;8.34;main
1980126N08150;1980;4; WP; MM;DOM;05/22/1980 0:00; TS;28;139.5;0;1006;tokyo;-100;4.427;main
1980133N07149;1980;5; WP; MM;ELLEN;05/13/1980 0:00; TS;7.2;144.5;0;1004;tokyo;-100;8.34;main
1980133N07149;1980;5; WP; MM;ELLEN;05/13/1980 6:00; TS;7.4;144.3;40;996;tokyo;10.835;33.063;main
1980133N07149;1980;5; WP; MM;ELLEN;05/13/1980 12:00; TS;7.6;144;50;992;tokyo;33.382;43.605;main
1980133N07149;1980;5; WP; MM;ELLEN;05/13/1980 18:00; TS;7.8;143.5;50;992;tokyo;33.382;43.605;main
1980133N07149;1980;5; WP; MM;ELLEN;05/14/1980 0:00; TS;8.1;143.2;50;992;tokyo;33.382;43.605;main
1980133N07149;1980;5; WP; MM;ELLEN;05/14/1980 6:00; TS;8.5;142.8;45;992;tokyo;22.006;43.605;main
1980133N07149;1980;5; WP; MM;ELLEN;05/14/1980 12:00; TS;8.8;142.6;45;992;tokyo;22.006;43.605;main
1980133N07149;1980;5; WP; MM;ELLEN;05/14/1980 18:00; TS;9.2;142.4;45;992;tokyo;22.006;43.605;main
1980133N07149;1980;5; WP; MM;ELLEN;05/15/1980 0:00; TS;9.5;142;65;975;tokyo;59.347;69.427;main
1980133N07149;1980;5; WP; MM;ELLEN;05/15/1980 6:00; TS;10.4;142.1;70;970;tokyo;65.649;74.261;main
1980133N07149;1980;5; WP; MM;ELLEN;05/15/1980 12:00; TS;11;142;70;950;tokyo;65.649;87.963;main
1980133N07149;1980;5; WP; MM;ELLEN;05/15/1980 18:00; TS;11.5;141.8;90;935;tokyo;89.552;94.527;main
1980133N07149;1980;5; WP; MM;ELLEN;05/16/1980 0:00; TS;12;141.4;90;935;tokyo;89.552;94.527;main
1980133N07149;1980;5; WP; MM;ELLEN;05/16/1980 6:00; TS;12.3;141.2;90;940;tokyo;89.552;92.642;main
1980133N07149;1980;5; WP; MM;ELLEN;05/16/1980 12:00; TS;12.6;141.3;90;940;tokyo;89.552;92.642;main
1980133N07149;1980;5; WP; MM;ELLEN;05/16/1980 18:00; TS;12.9;141.4;90;930;tokyo;89.552;95.901;main
1980133N07149;1980;5; WP; MM;ELLEN;05/17/1980 0:00; TS;13.3;141.3;90;935;tokyo;89.552;94.527;main
1980133N07149;1980;5; WP; MM;ELLEN;05/17/1980 6:00; TS;13.7;141.2;90;935;tokyo;89.552;94.527;main
1980133N07149;1980;5; WP; MM;ELLEN;05/17/1980 12:00; TS;14.4;141;90;935;tokyo;89.552;94.527;main
1980133N07149;1980;5; WP; MM;ELLEN;05/17/1980 18:00; TS;15;140.8;90;935;tokyo;89.552;94.527;main
1980133N07149;1980;5; WP; MM;ELLEN;05/18/1980 0:00; TS;15.6;140.3;90;940;tokyo;89.552;92.642;main
1980133N07149;1980;5; WP; MM;ELLEN;05/18/1980 6:00; TS;16.3;140;100;940;tokyo;95.76;92.642;main
1980133N07149;1980;5; WP; MM;ELLEN;05/18/1980 12:00; TS;17.2;139.5;105;940;tokyo;98.04;92.642;main
1980133N07149;1980;5; WP; MM;ELLEN;05/18/1980 18:00; TS;17.7;138.4;105;945;tokyo;98.04;90.554;main
1980133N07149;1980;5; WP; MM;ELLEN;05/19/1980 0:00; TS;18;138.3;95;945;tokyo;93.375;90.554;main
1980133N07149;1980;5; WP; MM;ELLEN;05/19/1980 6:00; TS;19;137.7;90;950;tokyo;89.552;87.963;main
1980133N07149;1980;5; WP; MM;ELLEN;05/19/1980 12:00; TS;20.1;137;90;955;tokyo;89.552;85.194;main
1980133N07149;1980;5; WP; MM;ELLEN;05/19/1980 18:00; TS;21.3;136.8;90;965;tokyo;89.552;78.298;main
